Location	LatLong	Curvature	Stop	Mode	Notes
Bern	"46.947857, 7.449066"	0.2	1	5	
Lausanne	"46.531544, 6.626127"	0.2	3	5	
Gruyères	"46.579575, 7.058534"	0.2	1	5	
Lausanne	"46.531544, 6.626127"	0.3	3	5	
Fontainebleau	"48.404822, 2.697509"	0.3	1	5	
Paris	"48.861477, 2.346826"	0.3	2	2	
Florence	"43.769104, 11.258102"	-0.3	0	2	Visited Vic
Ravenna	"44.421490, 12.202774"	0.3	1	2	
Venice	"45.505693, 12.400379"	0.2	1	2	
Trieste	"45.651796, 13.779163"	0.2	1	2	
Thessaloniki	"40.641771, 22.942594"	0.2	1	3	
Instanbul	"40.991622, 28.975729"	0.3	0	3	
Bursa	"40.196334, 29.062435"	0.3	1	3	
Izmir	"38.424879, 27.151998"	0.2	2	3	
Parmukkale	"37.898254, 29.124815"	-0.2	1	3	
Selçuk	"37.962220, 27.381527"	0.3	0	3	St John's Basilica
Ephesus	"37.951091, 27.334047"	0.2	1	3	
Selçuk	"37.962220, 27.381527"	0.3	3	3	
Bodrum	"37.022850, 27.442553"	0.3	0	3	
Marmaris	"36.862261, 28.267411"	0.3	1	4	
Rhodes	"36.416272, 28.212912"	0.2	0	3	
Lindos	"36.093078, 28.086653"	0.2	1	3	
Rhodes	"36.416272, 28.212912"	0.2	3	4	
Agios Nikolaos	"35.204378, 25.712317"	0.3	1	3	
Heraklion	"35.343832, 25.145176"	0.3	0	3	
Knossos	"35.297965, 25.163146"	0.3	1	3	
Heraklion	"35.343832, 25.145176"	0.3	3	3	
Phaistos	"35.051651, 24.815754"	0.3	1	3	Minoan Palace
Heraklion	"35.343832, 25.145176"	0.3	3	4	
Pireas	"37.944147, 23.647353"	0.2	2	4	
Naxos	"37.100393, 25.377620"	0.3	0	4	
Ios	"36.722671, 25.289729"	0.3	0	4	
Santorini	"36.396160, 25.458431"	0.3	0	4	
Naxos	"37.100393, 25.377620"	0.2	3	4	
Pireas	"37.944147, 23.647353"	0.3	3	2	
Athens	"37.992666, 23.723965"	0.11	0	1	
Bangkok	"13.713979, 100.458853"	0.3	0	2	
Ayutthaya	"14.356105, 100.558846"	0.3	1	2	
Bangkok	"13.713979, 100.458853"	0.3	3	3	
Pattaya	"12.927175, 100.884648"	-0.45	1	3	
Bangkok	"13.713979, 100.458853"	0.3	3	1	
Hong Kong	"22.284571, 114.174567"	0.3	0	1	
Jakarta	"-6.137955, 106.848977"	0.3	0	2	
Yogyakarta	"-7.795936, 110.367806"	0.3	0	1	
Legian Beach	"-8.690428, 115.165539"	0.1	0	1	
Sydney	"-33.939914, 151.175287"	0.3	2	1	
Canberra	"-35.355434, 149.066050"	0.3	2	0	
