Location	LatLong	Curvature	Stop	Mode	Notes
Canberra	-35.355434, 149.066050	0.3	2	1	
Melbourne	-37.812923, 144.951486	0.1	2	1	
Singapore	1.353124, 103.860720	0.1	2	1	
Milan	45.463435, 9.187000	-0.1	0	0	
Montagnana	45.230875, 11.463072	0.3	0	0	
Villa Mila	45.162470, 11.357020	0.3	1	0	
Montagnana	45.230875, 11.463072	0.3	3	0	
Este	45.225641, 11.660218	0.3	1	0	
Montagnana	45.230875, 11.463072	0.3	3	0	
Monselice	45.239070, 11.749250	0.3	1	0	
Montagnana	45.230875, 11.463072	0.3	3	0	
Arqua Partrarca	45.270001, 11.721697	-0.2	1	0	
Verona	45.438412, 10.990299	-0.3	0	0	
Garda	45.584064, 10.699310	-0.3	2	0	
Riva del Garda	45.889002, 10.842553	-0.3	2	0	
Sirmione	45.497392, 10.604975	-0.3	1	0	
Verona	45.438412, 10.990299	-0.25	3	0	
Ferrara	44.838303, 11.617947	0.3	1	0	
Bologna	44.494444, 11.342327	0.3	0	0	
Acetaia Giusti	44.690525, 10.901131	-0.2	1	0	
Parma	44.801468, 10.328029	0.3	0	0	
Castello di Torrechiara	44.655370, 10.273815	-0.3	1	0	
Ricco del Golfo	44.156526, 9.762767	0.3	0	0	
La Spezia	44.102535, 9.822934	0.3	2	0	
Porto Venere	44.051035, 9.834076	0.3	2	0	
Riomaggiore	44.099242, 9.738076	0.3	2	0	
Manarola	44.106513, 9.726834	0.3	2	0	
Vernazza	44.135475, 9.682413	0.3	2	0	
Monterosso	44.145718, 9.649832	0.3	1	0	
Vernazza	44.135475, 9.682413	0.3	2	0	
Manarola	44.106513, 9.726834	0.3	2	0	
Riomaggiore	44.099242, 9.738076	0.3	1	0	
Porto Venere	44.051035, 9.834076	0.3	2	0	
La Spezia	44.102535, 9.822934	0.3	2	0	
Ricco del Golfo	44.156526, 9.762767	0.2	3	0	
Lucca	43.843003, 10.503923	-0.25	1	0	
Ricco del Golfo	44.156526, 9.762767	0.3	3	0	
Pavia	45.184711, 9.157794	0.3	0	0	
Certosa di Pavia	45.263097, 9.149173	0.3	1	0	
Pavia	45.184711, 9.157794	0.35	3	0	
Milan	45.463435, 9.187000	0.1	2	1	
Singapore	1.353124, 103.860720	0.1	3	1	
Sydney	-33.939914, 151.175287	0.3	2	1	
Canberra	-35.355434, 149.066050	0.3	3	1	
